n_ticket;date;heure;magasin;vendeur;client;produit;categorie;quantite;prix_unitaire_ht;remise;montant_ht;montant_ttc
T05-250402-086505;2025-04-02;16:51;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Pointe 100 mm (kg) — réf 1;Quincaillerie;-2;2500;0.0;-5000;-5900
T05-250402-086506;2025-04-02;07:25;Magasin 5 — Kaya Marché;Boureima Ouédraogo;4253;Lavabo céramique — réf 1;Plomberie;12;36950;0.08;407928;481355
T05-250501-090469;2025-05-01;10:30;Magasin 5 — Kaya Marché;Salamatu Sankara;6584;Peinture glycéro 1 L — réf 2;Peinture;10;3800;0.0;38000;44840
T05-250501-090469;2025-05-01;07:03;Magasin 5 — Kaya Marché;Boureima Ouédraogo;12559;Carreau de pavement 40x40 — réf 1;Matériaux;4;1075;0.0;4300;5074
T05-250501-090469;2025-05-01;16:10;Magasin 5 — Kaya Marché;Boureima Ouédraogo;475;Tout-venant (m3) — réf 2;Matériaux;1;23600;0.04;22656;26734
T05-250501-090469;2025-05-01;12:26;Magasin 5 — Kaya Marché;Salamatu Sankara;1690;Pelle carrée — réf 2;Consommables;2;5300;0.08;9752;11507
T05-250501-090470;2025-05-01;18:44;Magasin 5 — Kaya Marché;Adama Bationo;9291;Tube PVC évacuation 100 mm (ml) — réf 1;Plomberie;4;3350;0.0;13400;15812
T05-250501-090470;2025-05-01;16:25;Magasin 5 — Kaya Marché;Adama Bationo;15557;Écrou hexagonal 10 (sachet) — réf 2;Quincaillerie;1;2100;0.04;2016;2379
T05-250501-090470;2025-05-01;11:03;Magasin 5 — Kaya Marché;Moussa Ilboudo;14630;Coude PVC 90° 100 — réf 1;Plomberie;3;4075;0.04;11736;13848
T05-250501-090471;2025-05-01;07:15;Magasin 5 — Kaya Marché;Adama Bationo;0;Lavabo céramique — réf 2;Plomberie;1;40550;0.0;40550;47849
T05-250501-090471;2025-05-01;13:52;Magasin 5 — Kaya Marché;Boureima Ouédraogo;17473;Douille E27 avec cordon — réf 1;Electricité;2;12400;0.0;24800;29264
T05-250501-090471;2025-05-01;17:56;Magasin 5 — Kaya Marché;Adama Bationo;20136;Parpaing 15 aggloméré — réf 1;Matériaux;4;1475;0.07;5487;6475
T05-250501-090472;2025-05-01;15:40;Magasin 5 — Kaya Marché;Boureima Ouédraogo;14106;Pince coupante 200 mm — réf 2;Quincaillerie;2;10500;0.04;20160;23789
T05-250501-090472;2025-05-01;09:38;Magasin 5 — Kaya Marché;Adama Bationo;;Chasse d'eau 6 L — réf 1;Plomberie;3;26075;0.0;78225;92305
T05-250501-090472;2025-05-01;15:17;Magasin 5 — Kaya Marché;Adama Bationo;10827;Enduit de rebouchage 5 kg — réf 1;Peinture;9;4250;0.0;38250;45135
T05-250501-090473;2025-05-01;10:08;Magasin 5 — Kaya Marché;Boureima Ouédraogo;14652;Mètre ruban 5 m — réf 2;Quincaillerie;2;6550;0.0;13100;15458
T05-250501-090473;2025-05-01;18:36;Magasin 5 — Kaya Marché;Moussa Ilboudo;6600;Brique de terre cuite — réf 2;Matériaux;1;725;0.04;696;821
T05-250501-090473;2025-05-01;15:12;Magasin 5 — Kaya Marché;Moussa Ilboudo;7932;Câble 3x2,5 (rouleau 100 m) — réf 2;Electricité;6;17100;0.08;94392;111383
T05-250501-090474;2025-05-01;18:57;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Carreau de pavement 40x40 — réf 2;Matériaux;13;1075;0.0;13975;16491
T05-250501-090474;2025-05-01;08:16;Magasin 5 — Kaya Marché;Adama Bationo;9093;Plâtre de construction 25 kg — réf 1;Matériaux;6;4375;0.0;26250;30975
T05-250501-090474;2025-05-01;16:53;Magasin 5 — Kaya Marché;Salamatu Sankara;16868;Brouette 90 L — réf 1;Consommables;2;5275;0.08;9706;11453
T05-250502-090566;2025-05-02;13:47;Magasin 5 — Kaya Marché;Boureima Ouédraogo;23455;Hourdis creux 12 — réf 1;Matériaux;9;1025;0.0;9225;10885
T05-250502-090566;2025-05-02;09:27;Magasin 5 — Kaya Marché;Salamatu Sankara;11891;Écrou hexagonal 10 (sachet) — réf 2;Quincaillerie;16;2150;0.0;34400;40592
T05-250502-090566;2025-05-02;08:44;Magasin 5 — Kaya Marché;Moussa Ilboudo;12948;Vis à bois 4x40 (boîte) — réf 1;Quincaillerie;1;1750;0.0;1750;2065
T05-250502-090566;2025-05-02;17:12;Magasin 5 — Kaya Marché;Adama Bationo;10895;Enduit de lissage 20 kg — réf 2;Matériaux;5;6500;0.0;32500;38350
T05-250502-090567;2025-05-02;09:03;Magasin 5 — Kaya Marché;Salamatu Sankara;7489;Ciment CPJ35 50 kg — réf 1;Matériaux;2;6300;0.0;12600;14868
T05-250502-090567;2025-05-02;13:41;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Hourdis creux 12 — réf 2;Matériaux;4;1600;0.0;6400;7552
T05-250502-090567;2025-05-02;15:09;Magasin 5 — Kaya Marché;Salamatu Sankara;10278;Vis à bois 4x40 (boîte) — réf 1;Quincaillerie;3;1775;0.03;5165;6095
T05-250502-090568;2025-05-02;10:16;Magasin 5 — Kaya Marché;Adama Bationo;9985;Lampe solaire murale — réf 1;Electricité;4;10450;0.0;41800;49324
T05-250502-090568;2025-05-02;15:50;Magasin 5 — Kaya Marché;Boureima Ouédraogo;22573;Peinture acrylique blanc 10 L — réf 2;Peinture;7;6875;0.0;48125;56787
T05-250502-090568;2025-05-02;10:14;Magasin 5 — Kaya Marché;Salamatu Sankara;15664;Plaque de plâtre 13 mm — réf 2;Bois & panneaux;4;13675;0.04;52512;61964
T05-250502-090569;2025-05-02;07:01;Magasin 5 — Kaya Marché;Adama Bationo;14949;Plâtre de construction 25 kg — réf 2;Matériaux;2;6100;0.11;10858;12812
T05-250502-090569;2025-05-02;13:41;Magasin 5 — Kaya Marché;Boureima Ouédraogo;11018;Carreau de pavement 40x40 — réf 1;Matériaux;3;1025;0.0;3075;3629
T05-250502-090569;2025-05-02;18:49;Magasin 5 — Kaya Marché;Salamatu Sankara;7139;Coude PVC 90° 100 — réf 1;Plomberie;9;3925;0.0;35325;41683
T05-250503-090686;2025-05-03;17:22;Magasin 5 — Kaya Marché;Boureima Ouédraogo;2275;Clé plate 13 — réf 1;Quincaillerie;7;9775;0.0;68425;80741
T05-250503-090686;2025-05-03;08:18;Magasin 5 — Kaya Marché;Boureima Ouédraogo;9557;Bêche à manche bois — réf 2;Consommables;1;5775;0.0;5775;6815
T05-250503-090687;2025-05-03;08:19;Magasin 5 — Kaya Marché;Moussa Ilboudo;21383;Chaux aérienne 25 kg — réf 2;Matériaux;3;8125;0.0;24375;28763
T05-250503-090687;2025-05-03;16:24;Magasin 5 — Kaya Marché;Adama Bationo;0;Meuleuse 125 mm — réf 1;Quincaillerie;7;7325;0.0;51275;60505
T05-250503-090688;2025-05-03;12:32;Magasin 5 — Kaya Marché;Adama Bationo;10137;Enduit de rebouchage 5 kg — réf 2;Peinture;17;4925;0.0;83725;98795
T05-250503-090688;2025-05-03;16:51;Magasin 5 — Kaya Marché;Moussa Ilboudo;15857;Enduit de lissage 20 kg — réf 1;Matériaux;8;7325;0.04;56256;66382
T05-250503-090689;2025-05-03;13:54;Magasin 5 — Kaya Marché;Moussa Ilboudo;14974;Brique de terre cuite — réf 2;Matériaux;4;700;0.11;2492;2941
T05-250503-090689;2025-05-03;18:02;Magasin 5 — Kaya Marché;Moussa Ilboudo;11760;Plaque de plâtre 13 mm — réf 2;Bois & panneaux;1;13825;0.04;13272;15661
T05-250601-093699;2025-06-01;09:27;Magasin 5 — Kaya Marché;Adama Bationo;19747;Tout-venant (m3) — réf 1;Matériaux;4;16375;0.08;60260;71107
T05-250601-093700;2025-06-01;09:09;Magasin 5 — Kaya Marché;Boureima Ouédraogo;5122;Bêche à manche bois — réf 2;Consommables;6;5825;0.04;33552;39591
T05-250601-093701;2025-06-01;07:51;Magasin 5 — Kaya Marché;Salamatu Sankara;12483;Tube PVC évacuation 100 mm (ml) — réf 1;Plomberie;15;3375;0.0;50625;59737
T05-250601-093702;2025-06-01;09:09;Magasin 5 — Kaya Marché;Salamatu Sankara;22782;Panneau solaire 100 W — réf 1;Electricité;2;9425;0.08;17342;20464
T05-250601-093703;2025-06-01;18:57;Magasin 5 — Kaya Marché;Moussa Ilboudo;13205;Échelle aluminium 4 marches — réf 2;Consommables;6;8550;0.0;51300;60534
T05-250602-093766;2025-06-02;15:09;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Tube PVC évacuation 100 mm (ml) — réf 1;Plomberie;2;3300;0.0;6600;7788
T05-250602-093766;2025-06-02;09:23;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Scie égoïne 500 mm — réf 2;Quincaillerie;8;9975;0.0;79800;94164
T05-250602-093766;2025-06-02;07:59;Magasin 5 — Kaya Marché;Moussa Ilboudo;11411;Ciment CPJ45 50 kg — réf 2;Matériaux;16;6400;0.0;102400;120832
T05-250602-093767;2025-06-02;17:01;Magasin 5 — Kaya Marché;Salamatu Sankara;6472;Té fonte 100 — réf 1;Plomberie;4;3175;0.04;12192;14387
T05-250602-093767;2025-06-02;14:36;Magasin 5 — Kaya Marché;Boureima Ouédraogo;2778;Douille E27 avec cordon — réf 2;Electricité;7;18050;0.0;126350;149093
T05-250602-093767;2025-06-02;14:47;Magasin 5 — Kaya Marché;Boureima Ouédraogo;1374;Chasse d'eau 6 L — réf 2;Plomberie;2;20425;0.0;40850;48203
T05-250602-093768;2025-06-02;07:37;Magasin 5 — Kaya Marché;Moussa Ilboudo;17115;Fer à béton 8 mm (barre) — réf 2;Quincaillerie;3;2250;0.04;6480;7646
T05-250602-093768;2025-06-02;15:07;Magasin 5 — Kaya Marché;Adama Bationo;21939;Hourdis creux 12 — réf 2;Matériaux;7;1500;0.0;10500;12390
T05-250602-093768;2025-06-02;18:14;Magasin 5 — Kaya Marché;Adama Bationo;0;Ampoule LED 9 W — réf 2;Electricité;2;19050;0.0;38100;44958
T05-250602-093769;2025-06-02;16:25;Magasin 5 — Kaya Marché;Adama Bationo;21805;Ciment CPJ45 50 kg — réf 2;Matériaux;4;6475;0.08;23828;28117
T05-250602-093769;2025-06-02;12:40;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Ciment CPJ35 50 kg — réf 2;Matériaux;7;4175;0.0;29225;34485
T05-250602-093769;2025-06-02;16:38;Magasin 5 — Kaya Marché;Salamatu Sankara;15376;Mètre ruban 5 m — réf 1;Quincaillerie;7;7575;0.0;53025;62569
T05-250602-093770;2025-06-02;18:49;Magasin 5 — Kaya Marché;Boureima Ouédraogo;5244;Brique de terre cuite — réf 1;Matériaux;1;1025;0.0;1025;1209
T05-250602-093770;2025-06-02;18:07;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Mètre ruban 5 m — réf 1;Quincaillerie;1;7425;0.0;7425;8761
T05-250602-093770;2025-06-02;14:14;Magasin 5 — Kaya Marché;Adama Bationo;21662;Hourdis creux 12 — réf 1;Matériaux;3;1050;0.08;2898;3420
T05-250602-093771;2025-06-02;10:31;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Batterie à décharge lente 120 Ah — réf 1;Electricité;1;17775;0.0;17775;20975
T05-250602-093771;2025-06-02;14:50;Magasin 5 — Kaya Marché;Salamatu Sankara;14519;Disjoncteur différentiel 30 mA — réf 2;Electricité;4;12550;0.0;50200;59236
T05-250603-093876;2025-06-03;10:50;Magasin 5 — Kaya Marché;Moussa Ilboudo;17014;Meuleuse 125 mm — réf 2;Quincaillerie;4;5875;0.08;21620;25512
T05-250603-093876;2025-06-03;11:04;Magasin 5 — Kaya Marché;Boureima Ouédraogo;14525;Ampoule LED 9 W — réf 1;Electricité;2;9475;0.0;18950;22361
T05-250603-093876;2025-06-03;11:37;Magasin 5 — Kaya Marché;Boureima Ouédraogo;2988;Lame de lambris 4 m — réf 2;Bois & panneaux;14;15950;0.0;223300;263494
T05-250603-093877;2025-06-03;07:08;Magasin 5 — Kaya Marché;Salamatu Sankara;6405;Clé plate 13 — réf 2;Quincaillerie;1;10625;0.04;10200;12036
T05-250603-093877;2025-06-03;12:01;Magasin 5 — Kaya Marché;Moussa Ilboudo;5892;Mètre ruban 5 m — réf 1;Quincaillerie;18;7650;0.08;126684;149487
T05-250603-093877;2025-06-03;15:41;Magasin 5 — Kaya Marché;Adama Bationo;7824;Ballon d'eau chaude 50 L — réf 1;Plomberie;6;33325;0.0;199950;235941
T05-250603-093878;2025-06-03;13:44;Magasin 5 — Kaya Marché;Moussa Ilboudo;19541;Bêche à manche bois — réf 1;Consommables;4;5400;0.04;20736;24468
T05-250603-093878;2025-06-03;13:29;Magasin 5 — Kaya Marché;Moussa Ilboudo;4341;Vis à bois 4x40 (boîte) — réf 1;Quincaillerie;3;1800;0.04;5184;6117
T05-250603-093878;2025-06-03;17:06;Magasin 5 — Kaya Marché;Salamatu Sankara;4037;Peinture acrylique blanc 10 L — réf 2;Peinture;17;6750;0.0;114750;135405
T05-250603-093879;2025-06-03;14:15;Magasin 5 — Kaya Marché;Boureima Ouédraogo;5173;Brique de terre cuite — réf 2;Matériaux;1;700;0.0;700;826
T05-250603-093879;2025-06-03;13:05;Magasin 5 — Kaya Marché;Moussa Ilboudo;17169;Hourdis creux 12 — réf 2;Matériaux;2;1575;0.08;2898;3420
T05-250603-093879;2025-06-03;07:11;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Mastic d'étanchéité — réf 1;Plomberie;5;3375;0.0;16875;19913
T05-250604-093928;2025-06-04;13:30;Magasin 5 — Kaya Marché;Adama Bationo;0;Peinture toiture 25 kg — réf 2;Peinture;2;6025;0.0;12050;14219
T05-250604-093929;2025-06-04;11:21;Magasin 5 — Kaya Marché;Adama Bationo;984;Régulateur de charge 10 A — réf 2;Electricité;1;10950;0.04;10512;12404
T05-250604-093930;2025-06-04;15:54;Magasin 5 — Kaya Marché;Moussa Ilboudo;20360;Bêche à manche bois — réf 2;Consommables;9;5750;0.0;51750;61065
T05-250604-093931;2025-06-04;13:50;Magasin 5 — Kaya Marché;Adama Bationo;6608;Meuleuse 125 mm — réf 2;Quincaillerie;16;5950;0.0;95200;112336
T05-250604-093932;2025-06-04;16:33;Magasin 5 — Kaya Marché;Salamatu Sankara;6961;Gants anti-coupure (paire) — réf 1;Consommables;2;8875;0.08;16330;19269
T05-250604-093933;2025-06-04;18:03;Magasin 5 — Kaya Marché;Salamatu Sankara;;Mètre ruban 5 m — réf 1;Quincaillerie;1;7500;0.04;7200;8496
T05-250701-096416;2025-07-01;16:24;Magasin 5 — Kaya Marché;Salamatu Sankara;1934;Clé plate 13 — réf 1;Quincaillerie;1;9550;0.04;9168;10818
T05-250701-096416;2025-07-01;15:38;Magasin 5 — Kaya Marché;Adama Bationo;2296;Gravier 15/25 (m3) — réf 2;Matériaux;3;22075;0.0;66225;78145
T05-250701-096416;2025-07-01;18:25;Magasin 5 — Kaya Marché;Adama Bationo;0;Cheville nylon 8 mm (sachet) — réf 1;Quincaillerie;3;2425;0.0;7275;8585
T05-250701-096417;2025-07-01;12:13;Magasin 5 — Kaya Marché;Moussa Ilboudo;9379;Baguette de finition 2,4 m — réf 2;Bois & panneaux;-3;14650;0.08;-40434;-47712
T05-250701-096417;2025-07-01;07:18;Magasin 5 — Kaya Marché;Moussa Ilboudo;;Ciment CPJ35 50 kg — réf 2;Matériaux;17;4275;0.04;69768;82326
T05-250701-096418;2025-07-01;09:00;Magasin 5 — Kaya Marché;Moussa Ilboudo;21947;Pointe 100 mm (kg) — réf 2;Quincaillerie;8;1400;0.04;10752;12687
T05-250701-096418;2025-07-01;16:23;Magasin 5 — Kaya Marché;Adama Bationo;1242;Vis à bois 4x40 (boîte) — réf 2;Quincaillerie;21;1625;0.04;32760;38657
T05-250701-096419;2025-07-01;18:03;Magasin 5 — Kaya Marché;Boureima Ouédraogo;20420;Gravier 15/25 (m3) — réf 2;Matériaux;2;21075;0.08;38778;45758
T05-250701-096419;2025-07-01;09:03;Magasin 5 — Kaya Marché;Boureima Ouédraogo;1469;Lavabo céramique — réf 2;Plomberie;3;40150;0.0;120450;142131
T05-250701-096420;2025-07-01;11:26;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Lunettes de protection — réf 2;Consommables;9;4700;0.0;42300;49914
T05-250701-096420;2025-07-01;16:13;Magasin 5 — Kaya Marché;Moussa Ilboudo;;Passe-câble étanche — réf 2;Electricité;27;16425;0.0;443475;523301
T05-250701-096421;2025-07-01;13:01;Magasin 5 — Kaya Marché;Boureima Ouédraogo;5037;Tube PER 16x2 (rouleau) — réf 2;Plomberie;7;3350;0.0;23450;27671
T05-250701-096421;2025-07-01;10:10;Magasin 5 — Kaya Marché;Salamatu Sankara;14644;Ballon d'eau chaude 50 L — réf 1;Plomberie;3;32750;0.04;94320;111298
T05-250702-096498;2025-07-02;11:22;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Fil de fer recuit (kg) — réf 2;Quincaillerie;4;1975;0.0;7900;9322
T05-250702-096498;2025-07-02;08:40;Magasin 5 — Kaya Marché;Boureima Ouédraogo;20454;Enduit de rebouchage 5 kg — réf 2;Peinture;18;4725;0.04;81648;96345
T05-250702-096498;2025-07-02;07:15;Magasin 5 — Kaya Marché;Salamatu Sankara;6878;Tout-venant (m3) — réf 2;Matériaux;3;23475;0.04;67608;79777
T05-250702-096499;2025-07-02;08:21;Magasin 5 — Kaya Marché;Adama Bationo;6419;Gravier 15/25 (m3) — réf 2;Matériaux;5;21425;0.08;98555;116295
T05-250702-096499;2025-07-02;13:35;Magasin 5 — Kaya Marché;Moussa Ilboudo;5767;Fer à béton 8 mm (barre) — réf 1;Quincaillerie;1;1525;0.0;1525;1799
T05-250702-096499;2025-07-02;08:48;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Marteau de menuisier — réf 1;Quincaillerie;3;9375;0.0;28125;33187
T05-250702-096500;2025-07-02;13:32;Magasin 5 — Kaya Marché;Adama Bationo;10406;Antirouille rouge brique 1 L — réf 2;Peinture;13;6900;0.11;79833;94203
T05-250702-096500;2025-07-02;17:25;Magasin 5 — Kaya Marché;Salamatu Sankara;16310;Niveau à bulle 600 mm — réf 1;Quincaillerie;3;9275;0.0;27825;32833
T05-250702-096500;2025-07-02;12:02;Magasin 5 — Kaya Marché;Adama Bationo;17715;Câble 2x1,5 (rouleau 100 m) — réf 2;Electricité;2;9725;0.11;17310;20426
T05-250702-096501;2025-07-02;14:12;Magasin 5 — Kaya Marché;Salamatu Sankara;16142;Tube PVC évacuation 100 mm (ml) — réf 2;Plomberie;3;3825;0.0;11475;13541
T05-250702-096501;2025-07-02;07:18;Magasin 5 — Kaya Marché;Moussa Ilboudo;14952;Brique de terre cuite — réf 1;Matériaux;14;1075;0.04;14448;17049
T05-250702-096501;2025-07-02;07:15;Magasin 5 — Kaya Marché;Adama Bationo;10589;Pince coupante 200 mm — réf 2;Quincaillerie;6;10200;0.0;61200;72216
T05-250702-096502;2025-07-02;16:34;Magasin 5 — Kaya Marché;Boureima Ouédraogo;10989;Hourdis creux 12 — réf 1;Matériaux;5;1075;0.0;5375;6343
T05-250702-096502;2025-07-02;14:09;Magasin 5 — Kaya Marché;Moussa Ilboudo;3371;Écrou hexagonal 10 (sachet) — réf 2;Quincaillerie;19;2150;0.0;40850;48203
T05-250702-096502;2025-07-02;15:09;Magasin 5 — Kaya Marché;Boureima Ouédraogo;10564;Baguette de finition 2,4 m — réf 2;Bois & panneaux;8;14600;0.0;116800;137824
T05-250702-096503;2025-07-02;11:48;Magasin 5 — Kaya Marché;Boureima Ouédraogo;2526;Marteau de menuisier — réf 1;Quincaillerie;1;9475;0.0;9475;11181
T05-250702-096503;2025-07-02;08:54;Magasin 5 — Kaya Marché;Adama Bationo;18276;Scie égoïne 500 mm — réf 1;Quincaillerie;1;10900;0.0;10900;12862
T05-250702-096503;2025-07-02;07:05;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Carreau de pavement 40x40 — réf 1;Matériaux;3;1025;0.0;3075;3629
T05-250702-096504;2025-07-02;14:36;Magasin 5 — Kaya Marché;Adama Bationo;3825;Fil de fer recuit (kg) — réf 2;Quincaillerie;4;2000;0.0;8000;9440
T05-250702-096504;2025-07-02;14:58;Magasin 5 — Kaya Marché;Adama Bationo;18844;Parpaing 15 aggloméré — réf 2;Matériaux;9;1400;0.08;11592;13679
T05-250703-096584;2025-07-03;14:56;Magasin 5 — Kaya Marché;Salamatu Sankara;16979;Robinet mitigeur évier — réf 2;Plomberie;9;36275;0.04;313416;369831
T05-250703-096584;2025-07-03;17:47;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Antirouille rouge brique 1 L — réf 1;Peinture;20;5250;0.0;105000;123900
T05-250703-096584;2025-07-03;10:58;Magasin 5 — Kaya Marché;Boureima Ouédraogo;1117;Projecteur LED 30 W — réf 1;Electricité;3;9500;0.04;27360;32285
T05-250703-096585;2025-07-03;18:13;Magasin 5 — Kaya Marché;Salamatu Sankara;21035;Fil de fer recuit (kg) — réf 1;Quincaillerie;3;1600;0.04;4608;5437
T05-250703-096585;2025-07-03;13:34;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Échelle aluminium 4 marches — réf 2;Consommables;6;8650;0.0;51900;61242
T05-250703-096585;2025-07-03;18:50;Magasin 5 — Kaya Marché;Salamatu Sankara;17623;Clé plate 13 — réf 1;Quincaillerie;5;9875;0.0;49375;58263
T05-250703-096586;2025-07-03;17:31;Magasin 5 — Kaya Marché;Salamatu Sankara;17994;Sable de rivière (m3) — réf 2;Matériaux;2;26625;0.07;49522;58436
T05-250801-099076;2025-08-01;18:20;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Parpaing 15 aggloméré — réf 1;Matériaux;14;1450;0.0;20300;23954
T05-250801-099077;2025-08-01;12:36;Magasin 5 — Kaya Marché;Boureima Ouédraogo;19801;Disjoncteur 16 A — réf 1;Electricité;3;10075;0.0;30225;35665
T05-250801-099078;2025-08-01;16:52;Magasin 5 — Kaya Marché;Salamatu Sankara;14999;Parpaing 15 aggloméré — réf 2;Matériaux;11;1400;0.04;14784;17445
T05-250801-099079;2025-08-01;09:43;Magasin 5 — Kaya Marché;Moussa Ilboudo;19250;Pointe 100 mm (kg) — réf 1;Quincaillerie;3;2525;0.04;7272;8581
T05-250801-099080;2025-08-01;09:41;Magasin 5 — Kaya Marché;Salamatu Sankara;16857;Fer à béton 8 mm (barre) — réf 1;Quincaillerie;3;1575;0.0;4725;5575
T05-250801-099081;2025-08-01;12:00;Magasin 5 — Kaya Marché;Moussa Ilboudo;4004;Lunettes de protection — réf 2;Consommables;1;4800;0.0;4800;5664
T05-250801-099082;2025-08-01;11:11;Magasin 5 — Kaya Marché;Adama Bationo;6502;Pelle carrée — réf 2;Consommables;2;5250;0.08;9660;11399
T05-250801-099083;2025-08-01;17:56;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Peinture toiture 25 kg — réf 1;Peinture;5;4025;0.0;20125;23747
T05-250801-099084;2025-08-01;16:16;Magasin 5 — Kaya Marché;Boureima Ouédraogo;18638;Cheville nylon 8 mm (sachet) — réf 2;Quincaillerie;1;2050;0.04;1968;2322
T05-250801-099085;2025-08-01;12:44;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Ampoule LED 9 W — réf 1;Electricité;20;9275;0.0;185500;218890
T05-250801-099086;2025-08-01;14:23;Magasin 5 — Kaya Marché;Boureima Ouédraogo;728;Brique de terre cuite — réf 1;Matériaux;1;1050;0.08;966;1140
T05-250801-099087;2025-08-01;16:51;Magasin 5 — Kaya Marché;Adama Bationo;6946;Brouette en kit — réf 1;Consommables;7;9675;0.08;62307;73522
T05-250801-099088;2025-08-01;07:34;Magasin 5 — Kaya Marché;Boureima Ouédraogo;16254;Chaux aérienne 25 kg — réf 1;Matériaux;2;5250;0.0;10500;12390
T05-250801-099089;2025-08-01;11:08;Magasin 5 — Kaya Marché;Moussa Ilboudo;3702;Carreau de pavement 40x40 — réf 2;Matériaux;23;1075;0.0;24725;29175
T05-250801-099090;2025-08-01;12:30;Magasin 5 — Kaya Marché;Boureima Ouédraogo;3776;Panneau MDF 12 mm — réf 1;Bois & panneaux;14;18400;0.08;236992;279651
T05-250801-099091;2025-08-01;13:26;Magasin 5 — Kaya Marché;Salamatu Sankara;3764;Sable de rivière (m3) — réf 1;Matériaux;3;25300;0.08;69828;82397
T05-250801-099092;2025-08-01;11:28;Magasin 5 — Kaya Marché;Boureima Ouédraogo;1144;Plaque de plâtre 13 mm — réf 1;Bois & panneaux;8;9800;0.04;75264;88812
T05-250801-099093;2025-08-01;15:49;Magasin 5 — Kaya Marché;Moussa Ilboudo;;Disjoncteur 16 A — réf 1;Electricité;52;9625;0.0;500500;590590
T05-250801-099094;2025-08-01;14:21;Magasin 5 — Kaya Marché;Adama Bationo;16069;Tableau 18 modules — réf 2;Electricité;1;8625;0.0;8625;10177
T05-250801-099095;2025-08-01;08:06;Magasin 5 — Kaya Marché;Salamatu Sankara;21333;Tournevis cruciforme PH2 — réf 2;Quincaillerie;2;6225;0.07;11578;13662
T05-250801-099096;2025-08-01;14:39;Magasin 5 — Kaya Marché;Boureima Ouédraogo;13905;Carreau de pavement 40x40 — réf 1;Matériaux;3;1050;0.08;2898;3420
T05-250801-099097;2025-08-01;12:37;Magasin 5 — Kaya Marché;Adama Bationo;0;Vis à bois 4x40 (boîte) — réf 1;Quincaillerie;4;1750;0.0;7000;8260
T05-250802-099181;2025-08-02;09:32;Magasin 5 — Kaya Marché;Moussa Ilboudo;4787;Gants anti-coupure (paire) — réf 2;Consommables;3;5300;0.0;15900;18762
T05-250802-099181;2025-08-02;12:22;Magasin 5 — Kaya Marché;Adama Bationo;;Brouette 90 L — réf 2;Consommables;12;10100;0.0;121200;143016
T05-250802-099182;2025-08-02;11:44;Magasin 5 — Kaya Marché;Boureima Ouédraogo;13720;Tout-venant (m3) — réf 1;Matériaux;2;16275;0.0;32550;38409
T05-250802-099182;2025-08-02;12:26;Magasin 5 — Kaya Marché;Moussa Ilboudo;7845;Brouette en kit — réf 1;Consommables;3;9425;0.0;28275;33365
T05-250802-099183;2025-08-02;18:35;Magasin 5 — Kaya Marché;Salamatu Sankara;22512;Tournevis cruciforme PH2 — réf 2;Quincaillerie;25;6325;0.0;158125;186587
T05-250802-099183;2025-08-02;15:01;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Passe-câble étanche — réf 1;Electricité;13;16375;0.0;212875;251193
T05-250802-099184;2025-08-02;16:07;Magasin 5 — Kaya Marché;Boureima Ouédraogo;9171;Tout-venant (m3) — réf 2;Matériaux;3;23975;0.0;71925;84871
T05-250802-099184;2025-08-02;07:16;Magasin 5 — Kaya Marché;Salamatu Sankara;17024;Enduit de lissage 20 kg — réf 2;Matériaux;6;6450;0.0;38700;45666
T05-250802-099185;2025-08-02;09:42;Magasin 5 — Kaya Marché;Salamatu Sankara;7375;Fil de fer recuit (kg) — réf 1;Quincaillerie;12;1650;0.0;19800;23364
T05-250802-099185;2025-08-02;18:39;Magasin 5 — Kaya Marché;Salamatu Sankara;;Enduit de lissage 20 kg — réf 1;Matériaux;9;7225;0.04;62424;73660
T05-250802-099186;2025-08-02;10:11;Magasin 5 — Kaya Marché;Salamatu Sankara;5339;Panneau MDF 12 mm — réf 1;Bois & panneaux;6;18525;0.04;106704;125911
T05-250802-099186;2025-08-02;10:15;Magasin 5 — Kaya Marché;Adama Bationo;0;Diluant nitro 5 L — réf 1;Peinture;14;4500;0.0;63000;74340
T05-250802-099187;2025-08-02;14:41;Magasin 5 — Kaya Marché;Adama Bationo;4245;Panneau contreplaqué 15 mm — réf 2;Bois & panneaux;5;18875;0.04;90600;106908
